City	ViolentCrime2010	ViolentCrime2011	Murder2010	Murder2011	Rape2010	Rape2011
HUNTSVILLE	330.92	287.61	2.22	2.22	17.21	22.76
MOBILE	321.78	276.78	3.98	7.17	10.75	9.56
ANCHORAGE	408.12	401.61	3.08	1.37	44.20	46.26
CHANDLER    	139.76	141.88	0.85	0.85	13.98	11.86
GILBERT	44.13	37.90	0.48	0.48	5.76	3.84
GLENDALE	226.27	235.97	1.76	2.65	11.03	8.82
MESA 	194.74	199.75	1.82	1.14	13.67	17.54
PEORIA	92.82	88.92	3.25	0.65	12.33	10.39
PHOENIX 	264.11	268.95	3.60	4.36	17.57	19.30
SCOTTSDALE	80.96	80.50	0.92	-	8.28	1.84
SURPRISE	50.21	53.61	-	-	5.11	5.11
TEMPE     	220.13	234.36	4.33	0.62	11.75	11.13
TUCSON	306.85	310.89	4.23	5.00	15.19	2-
LITTLE ROCK	703.79	714.12	5.68	8.78	41.86	47.02
ANAHEIM	158.80	182.89	1.49	1.49	13.08	14.87
ANTIOCH	431.76	346.77	5.86	2.93	8.79	7.81
BAKERSFIELD	303.90	264.47	4.03	3.74	5.47	6.62
BERKELEY	214.96	208.74	1.78	0.89	11.55	13.32
BURBANK	88.06	111.28	-	-	6.77	13.55
CARLSBAD	91.14	75.00	-	2.85	6.65	3.80
CHULA VISTA	136.11	138.16	-	2.05	11.48	5.74
CONCORD	249.86	166.30	2.46	2.46	9.83	9.01
CORONA 	72.85	64.32	0.66	-	5.25	2.63
COSTA MESA 	110.95	103.67	0.91	2.73	12.73	13.64
DALY CITY	142.40	85.04	1.98	-	4.94	5.93
DOWNEY	165.52	177.15	0.89	-	9.84	14.31
ELK GROVE	175.80	194.10	1.31	1.96	4.57	7.84
EL MONTE	284.64	191.23	1.76	0.88	12.34	12.34
ESCONDIDO 	23-	159.82	0.69	1.39	10.42	8.34
FAIRFIELD	248.76	221.23	1.90	2.85	10.44	14.24
FONTANA 	184.63	160.15	2.55	1.02	8.67	10.71
FREMONT 	124.25	92.48	1.40	0.47	12.61	9.81
